,PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,env_obj
859,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,BF2_b,9,3,75.0,50.0,100.0,1,12.0,1.0,20.0,,2.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
860,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,BF3,See note,See note,,,,1,,1.0,,,,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
861,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,DSF,See note,See note,,,,1,,,,,,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF3a+EF4+EF6+NF1+NF2+EF2+NF3+NF6+NF7+EF5+NF5+NF8+NF9
862,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,SF1,7,6,100.0,,,1,10.0,10.0,70.0,,1.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF3a+EF4+EF6+NV3+NF1+NF2+EF2+NF3+NF6+NF7+EF5+NF5+NF8+NF9+NV1
863,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,SF2,9,4,75.0,50.0,100.0,1,14.0,14.0,70.0,800.0,2.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NV3+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6+NV1
864,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,SF3,7,6,50.0,,,1,28.0,28.0,70.0,,4.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NV3+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6+NV1
865,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,LF1,7,6,75.0,50.0,100.0,1,5.0,5.0,700.0,,2.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NV3+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6+NV1
866,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,LF2,10,4,40.0,30.0,50.0,1,5.0,5.0,700.0,,4.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+NF4+EF1+EF4+EF3a+NV3+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6+NV1
867,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,OB-WS3,7,6,25.0,20.0,30.0,1,5.0,5.0,2900.0,,5.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+EF6+OS1+EF1+EF5+NF9+NV1+OS2+NF4+NF1+NF2+NF3+NF8
868,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,OB-WS4,7,6,65.0,30.0,100.0,1,5.0,5.0,2900.0,,5.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+WB3+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+WB1+EF6+OS1+EF1+WB2+EF5+OS2+NF9+NV1+NF4+WB5+NF1+NF2+NF3+NF8+WB4
869,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,OB-WM_S,7,6,50.0,,,1,90.0,90.0,,,5.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+WB3+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+WB1+EF6+OS1+EF1+WB2+EF5+OS2+NV1+NF9+NF4+WB5+NF1+NF2+NF3+NF8+WB4
870,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,OB-WL_S,7,6,25.0,20.0,30.0,1,90.0,90.0,,,10.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+WB3+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+WB1+EF6+OS1+EF1+WB2+EF5+OS2+NV1+NF9+NF4+WB5+NF1+NF2+NF3+NF8+WB4
871,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,OB-WM_P,8,3,50.0,,,1,90.0,90.0,,,5.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+WB3+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+WB1+EF6+OS1+EF1+WB2+EF5+OS2+NV1+NF9+NF4+WB5+NF1+NF2+NF3+NF8+WB4
872,PU_0000137,Marthaguy Creek,Macquarie-Castlereagh,Lower Marthaguy Creek as measured Carinda,421011,OB-WL_P,8,3,25.0,20.0,30.0,1,90.0,90.0,,,10.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.457764,147.68401,EF7+WB3+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+WB1+EF6+OS1+EF1+WB2+EF5+OS2+NV1+NF9+NF4+WB5+NF1+NF2+NF3+NF8+WB4
873,PU_0000154,Castlereagh River below Coonamble,Macquarie-Castlereagh,Castlereagh below Coonamble at Gungalman Bridge,420020,CF,,,,,,1,,,0.0,0.0,0.0,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.31046667,147.9987333,EF7+NF4+EF1+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
874,PU_0000154,Castlereagh River below Coonamble,Macquarie-Castlereagh,Castlereagh below Coonamble at Gungalman Bridge,420020,VF,7,6,,,,1,,,,,,0.0,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Macquarie-Castlereagh,Macquarie-Castlereagh,-30.31046667,147.9987333,EF7+NF4+EF1+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
