PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,env_obj
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,SF1_P,10,4,100,,,1,10,10,467,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+PEF3b+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,SF1_S,10,4,100,,,1,10,10,280,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+PEF3b+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,SF2_P,7,6,100,,,1,3,3,467,,0.1666666,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+PEF3b+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,SF2_S,7,6,100,,,1,3,3,280,,0.1666666,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+PEF3b+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_1,1,1,100,,,1,,,130,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_2,2,2,100,,,1,,,112,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_3,3,3,100,,,1,,,109,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_4,4,4,100,,,1,,,78,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_5,5,5,100,,,1,,,95,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_6,6,6,100,,,1,,,101,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_7,7,7,100,,,1,,,314,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_8,8,8,100,,,1,,,530,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_9,9,9,100,,,1,,,414,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_10,10,10,100,,,1,,,236,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_11,11,11,100,,,1,,,251,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Lobbs Hole,410761,BF1_12,12,12,100,,,1,,,204,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.54,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,LF1_P,8,10,100,,,1,14,14,3292,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+PEF3a+F2+F6+O2+O5+O4+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,LF1_S,8,10,100,,,1,7,7,1975,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+PEF3a+F2+F6+O2+O5+O4+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,LF2_P,2,4,100,,,1,2,2,3292,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+PEF3a+F2+F6+O2+O5+O4+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,LF2_S,2,4,100,,,1,2,2,1975,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+PEF3a+F2+F6+O2+O5+O4+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,SF1_P,10,4,100,,,1,10,10,673,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+PEF3b+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,SF1_S,10,4,100,,,1,10,10,404,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+PEF3b+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,SF2_P,7,6,100,,,1,3,3,673,,0.1666666,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+PEF3b+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,SF2_S,7,6,100,,,1,3,3,404,,0.1666666,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+PEF3b+PEF4+C1+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_1,1,1,100,,,1,,,178,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_2,2,2,100,,,1,,,145,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_3,3,3,100,,,1,,,141,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_4,4,4,100,,,1,,,100,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_5,5,5,100,,,1,,,122,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_6,6,6,100,,,1,,,168,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_7,7,7,100,,,1,,,404,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_8,8,8,100,,,1,,,627,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_9,9,9,100,,,1,,,479,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_10,10,10,100,,,1,,,275,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_11,11,11,100,,,1,,,324,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
,Murrumbidgee (MR),ACT,Murrumbidgee at Mt MacDonald,410738,BF1_12,12,12,100,,,1,,,251,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.29,F4+O3+F2+F6+O2+O5+O4+C1+PEF5+F5+O1+F3
