PlanningUnitName,LTWPShortName,gauge,Code,relevant
Downstream Walgett to Boorooma,Barwon-Darling,422026,CF_b,1
Downstream Walgett to Boorooma,Barwon-Darling,422026,CF_c,0
Downstream Walgett to Boorooma,Barwon-Darling,422026,VF_a,0
Downstream Walgett to Boorooma,Barwon-Darling,422026,VF_b,0
Downstream Walgett to Boorooma,Barwon-Darling,422026,BF1_a,1
Downstream Walgett to Boorooma,Barwon-Darling,422026,BF1_b,1
Downstream Walgett to Boorooma,Barwon-Darling,422026,BF2_a,1
Downstream Walgett to Boorooma,Barwon-Darling,422026,BF2_b,1
Downstream Walgett to Boorooma,Barwon-Darling,422026,SF1_S,
Downstream Walgett to Boorooma,Barwon-Darling,422026,SF1_P,0
Downstream Walgett to Boorooma,Barwon-Darling,422026,SF2,1
Downstream Walgett to Boorooma,Barwon-Darling,422026,LF1_S,0
Downstream Walgett to Boorooma,Barwon-Darling,422026,LF1_P,1
Downstream Walgett to Boorooma,Barwon-Darling,422026,LF2,0
Downstream Walgett to Boorooma,Barwon-Darling,422026,BK1,1
Downstream Walgett to Boorooma,Barwon-Darling,422026,OB1,1
Downstream Walgett to Boorooma,Barwon-Darling,422026,OB2,0
Downstream Walgett to Boorooma,Barwon-Darling,422026,OB3,
Boorooma to Brewarrina,Barwon-Darling,422027,CF_a,0
Boorooma to Brewarrina,Barwon-Darling,422027,CF_b,1
Boorooma to Brewarrina,Barwon-Darling,422027,CF_c,1
Boorooma to Brewarrina,Barwon-Darling,422027,VF_a,1
Boorooma to Brewarrina,Barwon-Darling,422027,VF_b,1
Boorooma to Brewarrina,Barwon-Darling,422027,BF1_a,1
Boorooma to Brewarrina,Barwon-Darling,422027,BF1_b,0
Boorooma to Brewarrina,Barwon-Darling,422027,BF2_a,1
Boorooma to Brewarrina,Barwon-Darling,422027,BF2_b,0
Boorooma to Brewarrina,Barwon-Darling,422027,SF1_S,1
Boorooma to Brewarrina,Barwon-Darling,422027,SF1_P,0
Boorooma to Brewarrina,Barwon-Darling,422027,SF2,1
Boorooma to Brewarrina,Barwon-Darling,422027,LF1_S,1
Boorooma to Brewarrina,Barwon-Darling,422027,LF1_P,0
Boorooma to Brewarrina,Barwon-Darling,422027,LF2,1
Boorooma to Brewarrina,Barwon-Darling,422027,BK1,0
Boorooma to Brewarrina,Barwon-Darling,422027,OB1,
Boorooma to Brewarrina,Barwon-Darling,422027,OB2,1
Boorooma to Brewarrina,Barwon-Darling,422027,OB3,0
Boorooma to Brewarrina,Barwon-Darling,422002,CF_a,0
Boorooma to Brewarrina,Barwon-Darling,422002,CF_b,0
Boorooma to Brewarrina,Barwon-Darling,422002,CF_c,1
Boorooma to Brewarrina,Barwon-Darling,422002,VF_a,1
Boorooma to Brewarrina,Barwon-Darling,422002,VF_b,0
Boorooma to Brewarrina,Barwon-Darling,422002,BF1_a,1
Boorooma to Brewarrina,Barwon-Darling,422002,BF1_b,1
Boorooma to Brewarrina,Barwon-Darling,422002,BF2_a,0
Boorooma to Brewarrina,Barwon-Darling,422002,BF2_b,1
Boorooma to Brewarrina,Barwon-Darling,422002,SF1_S,0
Boorooma to Brewarrina,Barwon-Darling,422002,SF1_P,1
Boorooma to Brewarrina,Barwon-Darling,422002,SF2,0
Boorooma to Brewarrina,Barwon-Darling,422002,LF1_S,
Boorooma to Brewarrina,Barwon-Darling,422002,LF1_P,1
Boorooma to Brewarrina,Barwon-Darling,422002,LF2,0
Boorooma to Brewarrina,Barwon-Darling,422002,BK1,0
Boorooma to Brewarrina,Barwon-Darling,422002,OB1,0
Boorooma to Brewarrina,Barwon-Darling,422002,OB2,1
Boorooma to Brewarrina,Barwon-Darling,422002,OB3,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,CF_a,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,CF_b,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,CF_c,
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,VF_a,0
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,VF_b,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,BF1_a,0
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,BF1_b,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,BF2_a,0
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,BF2_b,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,SF1_S,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,SF1_P,0
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,SF2,
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,LF1_S,0
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,LF1_P,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,LF2,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,BK1,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,OB1,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,OB2,1
Brewarrina to Culgoa River Junction,Barwon-Darling,422028,OB3,0
Culgoa River Junction to Bourke,Barwon-Darling,425039,CF_a,1
Culgoa River Junction to Bourke,Barwon-Darling,425039,CF_b,0
Culgoa River Junction to Bourke,Barwon-Darling,425039,CF_c,1
Culgoa River Junction to Bourke,Barwon-Darling,425039,VF_a,0
Culgoa River Junction to Bourke,Barwon-Darling,425039,VF_b,1
Culgoa River Junction to Bourke,Barwon-Darling,425039,BF1_a,1
Culgoa River Junction to Bourke,Barwon-Darling,425039,BF1_b,0
Culgoa River Junction to Bourke,Barwon-Darling,425039,BF2_a,1
Culgoa River Junction to Bourke,Barwon-Darling,425039,BF2_b,0
Culgoa River Junction to Bourke,Barwon-Darling,425039,SF1_S,
Culgoa River Junction to Bourke,Barwon-Darling,425039,SF1_P,1
Culgoa River Junction to Bourke,Barwon-Darling,425039,SF2,0
Culgoa River Junction to Bourke,Barwon-Darling,425039,LF1_S,0
Culgoa River Junction to Bourke,Barwon-Darling,425039,LF1_P,0
Culgoa River Junction to Bourke,Barwon-Darling,425039,LF2,1
Culgoa River Junction to Bourke,Barwon-Darling,425039,BK1,1
Culgoa River Junction to Bourke,Barwon-Darling,425039,OB1,0
Culgoa River Junction to Bourke,Barwon-Darling,425039,OB2,1
Culgoa River Junction to Bourke,Barwon-Darling,425039,OB3,1
Culgoa River Junction to Bourke,Barwon-Darling,425003,CF_a,0
Culgoa River Junction to Bourke,Barwon-Darling,425003,CF_b,1
Culgoa River Junction to Bourke,Barwon-Darling,425003,CF_c,0
Culgoa River Junction to Bourke,Barwon-Darling,425003,VF_a,1
Culgoa River Junction to Bourke,Barwon-Darling,425003,VF_b,0
Culgoa River Junction to Bourke,Barwon-Darling,425003,BF1_a,
Culgoa River Junction to Bourke,Barwon-Darling,425003,BF1_b,1
Culgoa River Junction to Bourke,Barwon-Darling,425003,BF2_a,0
Culgoa River Junction to Bourke,Barwon-Darling,425003,BF2_b,0
Culgoa River Junction to Bourke,Barwon-Darling,425003,SF1_S,0
Culgoa River Junction to Bourke,Barwon-Darling,425003,SF1_P,1
Culgoa River Junction to Bourke,Barwon-Darling,425003,SF2,1
Culgoa River Junction to Bourke,Barwon-Darling,425003,LF1_S,1
Culgoa River Junction to Bourke,Barwon-Darling,425003,LF1_P,1
Culgoa River Junction to Bourke,Barwon-Darling,425003,LF2,
Culgoa River Junction to Bourke,Barwon-Darling,425003,BK1,0
Culgoa River Junction to Bourke,Barwon-Darling,425003,OB1,1
Culgoa River Junction to Bourke,Barwon-Darling,425003,OB2,0
Culgoa River Junction to Bourke,Barwon-Darling,425003,OB3,1
Bourke to Louth,Barwon-Darling,425004,CF_a,0
Bourke to Louth,Barwon-Darling,425004,CF_b,1
Bourke to Louth,Barwon-Darling,425004,CF_c,1
Bourke to Louth,Barwon-Darling,425004,VF_a,0
Bourke to Louth,Barwon-Darling,425004,VF_b,
Bourke to Louth,Barwon-Darling,425004,BF1_a,0
Bourke to Louth,Barwon-Darling,425004,BF1_b,1
Bourke to Louth,Barwon-Darling,425004,BF2_a,1
Bourke to Louth,Barwon-Darling,425004,BF2_b,1
Bourke to Louth,Barwon-Darling,425004,SF1_S,1
Bourke to Louth,Barwon-Darling,425004,SF1_P,1
Bourke to Louth,Barwon-Darling,425004,SF2,0
Bourke to Louth,Barwon-Darling,425004,LF1_S,1
Bourke to Louth,Barwon-Darling,425004,LF1_P,0
Bourke to Louth,Barwon-Darling,425004,LF2,1
Bourke to Louth,Barwon-Darling,425004,BK1,0
Bourke to Louth,Barwon-Darling,425004,OB1,1
Bourke to Louth,Barwon-Darling,425004,OB2,1
Bourke to Louth,Barwon-Darling,425004,OB3,0
Louth to Tilpa,Barwon-Darling,425900,CF_a,1
Louth to Tilpa,Barwon-Darling,425900,CF_b,0
Louth to Tilpa,Barwon-Darling,425900,CF_c,
Louth to Tilpa,Barwon-Darling,425900,VF_a,1
Louth to Tilpa,Barwon-Darling,425900,VF_b,0
Louth to Tilpa,Barwon-Darling,425900,BF1_a,0
Louth to Tilpa,Barwon-Darling,425900,BF1_b,0
Louth to Tilpa,Barwon-Darling,425900,BF2_a,1
Louth to Tilpa,Barwon-Darling,425900,BF2_b,1
Louth to Tilpa,Barwon-Darling,425900,SF1_S,0
Louth to Tilpa,Barwon-Darling,425900,SF1_P,1
Louth to Tilpa,Barwon-Darling,425900,SF2,1
Louth to Tilpa,Barwon-Darling,425900,LF1_S,0
Louth to Tilpa,Barwon-Darling,425900,LF1_P,1
Louth to Tilpa,Barwon-Darling,425900,LF2,0
Louth to Tilpa,Barwon-Darling,425900,BK1,1
Louth to Tilpa,Barwon-Darling,425900,OB1,0
Louth to Tilpa,Barwon-Darling,425900,OB2,
Louth to Tilpa,Barwon-Darling,425900,OB3,1
Tilpa to Wilcannia,Barwon-Darling,425008,CF_a,0
Tilpa to Wilcannia,Barwon-Darling,425008,CF_b,0
Tilpa to Wilcannia,Barwon-Darling,425008,CF_c,0
Tilpa to Wilcannia,Barwon-Darling,425008,VF_a,1
Tilpa to Wilcannia,Barwon-Darling,425008,VF_b,1
Tilpa to Wilcannia,Barwon-Darling,425008,BF1_a,1
Tilpa to Wilcannia,Barwon-Darling,425008,BF1_b,1
Tilpa to Wilcannia,Barwon-Darling,425008,BF2_a,
Tilpa to Wilcannia,Barwon-Darling,425008,BF2_b,0
Tilpa to Wilcannia,Barwon-Darling,425008,SF1_S,1
Tilpa to Wilcannia,Barwon-Darling,425008,SF1_P,0
Tilpa to Wilcannia,Barwon-Darling,425008,SF2,1
Tilpa to Wilcannia,Barwon-Darling,425008,LF1_S,0
Tilpa to Wilcannia,Barwon-Darling,425008,LF1_P,1
Tilpa to Wilcannia,Barwon-Darling,425008,LF2,1
Tilpa to Wilcannia,Barwon-Darling,425008,BK1,0
Tilpa to Wilcannia,Barwon-Darling,425008,OB1,
Tilpa to Wilcannia,Barwon-Darling,425008,OB2,0
Tilpa to Wilcannia,Barwon-Darling,425008,OB3,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,CF_a,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,CF_b,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,CF_c,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,VF_a,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,VF_b,0
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,BF1_a,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,BF1_b,0
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,BF2_a,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,BF2_b,0
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,SF1_S,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,SF1_P,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,SF2,0
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,LF1_S,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,LF1_P,0
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,LF2,
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,BK1,1
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,OB1,0
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,OB2,0
Wilcannia to Upstream Lake Wetherell,Barwon-Darling,425008,OB3,0
Keepit to Boggabri,Namoi,419007,CF1_a,1
Keepit to Boggabri,Namoi,419007,CF1_c,1
Keepit to Boggabri,Namoi,419007,CF1_b,0
Keepit to Boggabri,Namoi,419007,VF1_a,1
Keepit to Boggabri,Namoi,419007,VF1_b,1
Keepit to Boggabri,Namoi,419007,BF1_a,0
Keepit to Boggabri,Namoi,419007,BF1_b,1
Keepit to Boggabri,Namoi,419007,BF2_a,0
Keepit to Boggabri,Namoi,419007,BF2_b,1
Keepit to Boggabri,Namoi,419007,SF1_P,0
Keepit to Boggabri,Namoi,419007,SF1_S,
Keepit to Boggabri,Namoi,419007,SF2,1
Keepit to Boggabri,Namoi,419007,LF1_P,0
