planning_unit_name,LTWPShortName,gauge,ewr_code_timing,Target,priority
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,SF1_S,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,CF_b,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421022,VF_b,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,CF_a,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,CF_c,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,VF_a,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,BF1_a,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,BF1_b,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,BF2_a,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,BF2_b,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,BF3,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,DSF,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,SF1_P,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,SF1_S,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,CF_b,Ecosystem Function,2
Eastern Macquarie Marshes,Macquarie-Castlereagh,421090,VF_b,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,CF_a,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,CF_c,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,VF_a,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,BF1_a,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,BF1_b,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,BF2_a,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,BF2_b,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,BF3,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,DSF,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,SF1_P,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,SF1_S,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,CF_b,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421022,VF_b,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,CF_a,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,CF_c,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,VF_a,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,BF1_a,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,BF1_b,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,BF2_a,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,BF2_b,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,BF3,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,DSF,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,SF1_P,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,SF1_S,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,CF_b,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,VF_b,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,OB-WS1_P,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,OB-WS1_S,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,OB-WS4_P,Ecosystem Function,2
Northern Macquarie Marshes,Macquarie-Castlereagh,421090,OB-WS4_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409003,OB3,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409003,OB4,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,VF,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,BF1_a,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,BF1_b,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,SF1_S,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,SF1_P,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,SF2,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,LF1_P,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,LF1_S,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,LF2,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,LF3,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,BK1_S,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,BK1_P,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,OB1_S,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,OB1_P,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,OB2_S,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,OB2_P,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,OB3_P,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,OB3_S,Ecosystem Function,2
Murray River - Hume to Yarrawonga,Murray Lower Darling,409017,OB4,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,CF,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,VF,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,BF1,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,BF2,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,SF1_S,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,SF1_P,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,SF2,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,LF1_P,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,LF1_S,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,LF2,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,BK1_S,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,BK1_P,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,OB1_S,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,OB1_P,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,OB2,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,OB3,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409019,OB4,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,CF,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,VF,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,BF1,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,BF2,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,SF1_S,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,SF1_P,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,SF2,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,LF1_P,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,LF1_S,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,LF2,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,BK1_S,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,BK1_P,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,OB1_S,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,OB1_P,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,OB2,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,OB3,Ecosystem Function,2
Upper Wakool River and Yallakool Creek,Murray Lower Darling,409020,OB4,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,CF,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,VF,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,BF1_a,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,BF1_b,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,BF2_a,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,BF2_b,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,SF1_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,SF1_P,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,SF2,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,LF1_P,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,LF1_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,LF2,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,LF3_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,LF3_P,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,BK1_S,Ecosystem Function,2
Edward River - Stevens Weir to Wakool River,Murray Lower Darling,409023,BK1_P,Ecosystem Function,2
