PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelChange,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,EnvObj
PU_SS20005,Gunbower creek reach 3b,Gunbower creek system EWMP,Gunbower creek at Koondrook,407209,F2,5.15,8.25,,,,1,30,30,50,15000,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Victorian Murray,,,V-1.1+1.2+1.3+1.4+1.5+1.6
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,SF1_b,7,10,70,,,1,2,2,1300,,4,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-1+V-2+V-2.1+V-2.2+V-3+V-4+V-5
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,SF1_c,7,10,100,,,1,2,2,1000,,4,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-1+V-2+V-2.1+V-2.2+V-3+V-4+V-5
PU_0000175,Loddon River: Mid Loddon River System at Reach 4d,Loddon River EWMP,Loddon River at Appin South,407205,LF3,9.15,10.15,,,,1,7,7,585,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PV1+V-PV2+V-SV2+V-SV3+V-SWQ1+V-SG1+V-SG2 
PU_0000181,Pyramid Creek at Whole Creek,Loddon River EWMP,Box Creek at Mansfield Bridge,407295,BF2_partB,6,11,100,,,1,140,1,198,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.3+V-SV2+V-PP1+V-SB1+V-SM1
PU_0000181,Pyramid Creek at Whole Creek,Loddon River EWMP,Box Creek at Mansfield Bridge,407295,LF2,3,4,70,,,1,10,10,810,,2,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF 2.2+V-PF 2.3
PU_SS80001,Boort wetlands,Loddon Wetlands proxy,Loddon River @ Loddon Weir,407224,Wetland_proxy,7,6,25,,,1,1,1,9619,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-BV1+V-BV2+V-BV3
PU_SS80002,Hird  wetland,Loddon Wetlands proxy,Pyramid Creek @ Flannery'S Bridge,407294,Wetland_proxy,7,6,25,,,1,1,1,,,,,,L,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,VIC,,Loddon,,,V-HJV1+V-HJEF1+V-HJV2+V-HJV3+V-HJV4+V-HJV5+V-HJWB1+V-HJWB2+V-HJEF2
PU_SS80002,Johnson wetland,Loddon Wetlands proxy,Pyramid Creek @ Flannery'S Bridge,407294,Wetland_proxy,7,6,25,,,1,1,1,,,,,,L,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,VIC,,Loddon,,,V-HJV1+V-HJEF1+V-HJV2+V-HJV3+V-HJV4+V-HJV5+V-HJWB1+V-HJWB2+V-HJEF2
PU_SS80003,Lake Elizabeth,Loddon Wetlands proxy,Wandella Creek @ Fairley,407286,Wetland_proxy,7,6,25,,,1,1,1,813,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-LEV1+V-LEV2+V-LEV3+V-LEWB1+V-LEWB2+V-LEO1+V-LEF1+V-LEEF1
