PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin_100,FlowThresholdMin_100,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,Env_obj
SS300004,Kiewa river reach 4 - Mountain Creek,Kiewa FLOWs study 2008,,402207,F1,12,4,100,,,1,1,1,130,130,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V5
SS300004,Kiewa river reach 4 - Mountain Creek,Kiewa FLOWs study 2008,,402207,F2,7,6,100,,,3,3,3,147,147,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P2+VF2b+V-P5
SS300004,Kiewa river reach 4 - Mountain Creek,Kiewa FLOWs study 2008,,402207,BK1,7,6,100,,,2,2,2,173,173,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P6
SS300004,Kiewa river reach 4 - Mountain Creek,Kiewa FLOWs study 2008,,402207,OB1,7,11,100,,,3,2,2,173,173,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V1d
SS300004,Kiewa river reach 4 - Mountain Creek,Kiewa FLOWs study 2008,,402207,OB2,7,6,100,,,1,1,1,346,346,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P3
SS300005,Kiewa river reach 5 - Running Creek,Kiewa FLOWs study 2008,,402206,BF1,12,5,100,,,1,182,1,26,21,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P1+V-F2a+V-M1+V-M3a
SS300005,Kiewa river reach 5 - Running Creek,Kiewa FLOWs study 2008,,402206,BF2,6,11,100,,,1,183,1,47,38,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P4+V-P7
SS300005,Kiewa river reach 5 - Running Creek,Kiewa FLOWs study 2008,,402206,F1,12,4,100,,,1,1,1,130,130,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V5
SS300005,Kiewa river reach 5 - Running Creek,Kiewa FLOWs study 2008,,402206,F2,7,11,100,,,1,2,2,467,467,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V1d
SS300005,Kiewa river reach 5 - Running Creek,Kiewa FLOWs study 2008,,402206,F3,7,9,50,,,1,4,4,518,518,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V1a
