water_year,Barwon-Darling,Border Rivers,Campaspe,Condamine-Balonne,Eastern Mt Lofty Ranges,Goulburn-Broken,Gwydir,Lachlan,Loddon,Lower Darling,Macquarie-Castlereagh,Moonie,Murray,Murrumbidgee,Namoi,Ovens,Paroo,Warrego,Wimmera-Avoca,Northern Basin ,Southern Basin ,Total MDB
1959,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
1960,Moderate,Dry,Wet,Moderate,Moderate,Wet,Dry,Wet,Wet,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Wet,Moderate
1961,Moderate,Wet,Moderate,Moderate,Dry,Dry,Moderate,Wet,Moderate,Wet,Moderate,Wet,Moderate,Wet,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Moderate
1962,Very Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate
1963,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Wet,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Moderate
1964,Dry,Very Dry,Wet,Very Dry,Wet,Wet,Dry,Moderate,Wet,Moderate,Moderate,Very Dry,Wet,Moderate,Moderate,Wet,Dry,Dry,Very Wet,Dry,Wet,Moderate
1965,Very Dry,Dry,Moderate,Moderate,Dry,Moderate,Very Dry,Moderate,Moderate,Dry,Dry,Dry,Dry,Dry,Very Dry,Dry,Very Dry,Dry,Moderate,Dry,Dry,Dry
1966,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Dry,Moderate,Moderate,Moderate,Moderate
1967,Very Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Dry,Dry,Moderate,Moderate,Moderate,Moderate,Very Dry,Moderate,Dry,Dry
1968,Dry,Moderate,Moderate,Very Dry,Wet,Moderate,Dry,Moderate,Wet,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Very Dry,Moderate,Dry,Moderate,Moderate
1969,Very Dry,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Dry,Very Dry,Moderate,Moderate,Moderate,Moderate
1970,Dry,Very Wet,Moderate,Wet,Moderate,Moderate,Very Wet,Moderate,Moderate,Moderate,Wet,Wet,Wet,Wet,Very Wet,Wet,Moderate,Moderate,Moderate,Very Wet,Wet,Very Wet
1971,Dry,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Very Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate
