Year,eventYears,numAchieved,numEvents,numEventsAll,eventLength,eventLengthAchieved,totalEventDays,totalEventDaysAchieved,maxEventDays,maxRollingEvents,maxRollingAchievement,missingDays,totalPossibleDays,ewrCode,scenario,gauge,pu,State,SWSDLName,Multigauge,rollingMaxInterEvent,rollingMaxInterEventAchieved
2024,,,,,,,,,,,,,,LF2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,0,1
2016,1.0,1.0,1.0,3.0,90.0,12.0,90.0,12.0,90.0,90.0,1.0,0.0,365.0,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,351,0
2017,1.0,4.0,4.0,2.0,10.714285714285714,7.0,75.0,7.0,48.0,48.0,1.0,26.0,365.0,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,278,0
2018,1.0,1.0,1.0,1.0,4.5,90.0,9.0,90.0,8.0,8.0,1.0,0.0,365.0,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,286,0
2019,1.0,2.0,2.0,7.0,6.75,17.25,27.0,69.0,18.0,18.0,1.0,0.0,366.0,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,346,0
2020,1.0,1.0,1.0,2.0,90.0,8.0,90.0,8.0,90.0,90.0,1.0,0.0,365.0,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,302,0
2021,1.0,4.0,4.0,4.0,16.6,12.5,83.0,25.0,39.0,39.0,1.0,0.0,365.0,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,275,0
2022,1.0,4.0,4.0,1.0,12.666666666666666,90.0,76.0,90.0,28.0,28.0,1.0,0.0,365.0,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,275,0
2023,1.0,1.0,1.0,5.0,91.0,20.5,91.0,82.0,91.0,91.0,1.0,0.0,366.0,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,275,0
2014,1.0,1.0,1.0,6.0,4.666666666666667,18.5,14.0,74.0,12.0,12.0,1.0,0.0,365.0,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,218,0
2015,1.0,1.0,1.0,1.0,4.0,91.0,8.0,91.0,7.0,7.0,1.0,1.0,366.0,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,296,0
2024,,,,,,,,,,,,,,F1_S_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,0,1
2016,1.0,1.0,2.0,2.0,12.0,0.0,36.0,0.0,18.0,18.0,1.0,0.0,365.0,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1010,0
2017,0.0,0.0,1.0,1.0,2.0,0.0,6.0,0.0,4.0,4.0,1.0,26.0,365.0,F2_P_pd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,350,0
