Scenario,Gauge,PlanningUnit,State,SWSDLName,EwrCode,Multigauge,EventYears,Frequency,TargetFrequency,AchievementCount,AchievementPerYear,EventCount,EventCountAll,EventsPerYear,EventsPerYearAll,AverageEventLength,ThresholdDays,MaxInterEventYears,NoDataDays,TotalDays
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_b_P_sd,,6.0,60,70,7.0,0.7,21.0,29.0,2.1,2.9,6.724137931034483,195.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_b_S_pd,,9.0,90,70,13.0,1.3,30.0,41.0,3.0,4.1,8.585365853658537,352.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_b_S_sd,,9.0,90,70,17.0,1.7,37.0,41.0,3.7,4.1,8.585365853658537,352.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_c_P_pd,,9.0,90,100,13.0,1.3,30.0,41.0,3.0,4.1,8.585365853658537,352.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_c_P_sd,,9.0,90,100,17.0,1.7,37.0,41.0,3.7,4.1,8.585365853658537,352.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_c_S_pd,,9.0,90,100,17.0,1.7,38.0,50.0,3.8,5.0,12.9,645.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,F2_c_S_sd,,9.0,90,100,18.0,1.8,40.0,50.0,4.0,5.0,12.9,645.0,0,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,LF1_P_pd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,LF1_P_sd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,LF1_S_pd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,LF1_S_sd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,22.0,3653.0
NCCMA_flow,406202,Campaspe River at Reach 4,VIC,Campaspe,LF2_P_pd,,2.0,20,40,4.0,0.4,4.0,7.0,0.4,0.7,9.571428571428571,67.0,4,22.0,3653.0
