scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,State,SWSDLName,Multigauge
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1974,1975-02-25,1975-03-10,14,14,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1974,1975-03-14,1975-04-28,46,46,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1975,1975-07-04,1975-07-17,14,14,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1975,1975-08-06,1975-08-24,19,19,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1975,1975-08-30,1975-10-15,47,47,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1975,1975-10-20,1975-11-29,41,41,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1975,1975-12-02,1976-04-11,132,132,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1975,1976-06-21,1976-06-30,10,10,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1976,1976-07-01,1976-08-21,52,52,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_S,1976,1976-08-29,1976-09-10,13,13,NSW,NSW Border Rivers,
