scenario,gauge,pu,State,SWSDLName,ewr,waterYear,startDate,endDate,eventDuration,eventLength,Multigauge
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2022,2023-04-27,2023-05-31,35,35,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2023,2023-12-01,2024-05-04,156,156,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_a,2023,2024-05-06,2024-05-31,26,26,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2014-12-01,2014-12-01,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2014-12-03,2014-12-08,6,6,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2014-12-16,2014-12-16,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2014-12-24,2014-12-24,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-01-01,2015-01-03,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-01-05,2015-01-07,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-01-12,2015-01-12,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-01-16,2015-01-16,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-01-22,2015-01-22,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-01-27,2015-01-27,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-02-03,2015-02-19,17,17,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-02-22,2015-02-24,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-02-28,2015-03-01,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-03-13,2015-03-14,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-03-16,2015-03-16,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-03-19,2015-03-24,6,6,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-03-28,2015-03-30,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-04-01,2015-04-03,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-04-08,2015-04-29,22,22,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2014,2015-05-02,2015-05-31,30,30,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2015-12-08,2015-12-17,10,10,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2015-12-19,2015-12-27,9,9,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2015-12-31,2015-12-31,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-01-04,2016-01-08,5,5,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-01-10,2016-01-11,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-01-15,2016-01-19,5,5,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-01-21,2016-02-04,15,15,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF1_c,2015,2016-02-07,2016-02-09,3,3,
