Scenario,Gauge,PlanningUnit,State,SWSDLName,EwrCode,Multigauge,EventYears,Frequency,TargetFrequency,AchievementCount,AchievementPerYear,EventCount,EventCountAll,EventsPerYear,EventsPerYearAll,AverageEventLength,ThresholdDays,MaxInterEventYears,NoDataDays,TotalDays
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,OB1,,2.0,20,0,2.0,0.2,2.0,2.0,0.2,0.2,4.0,8.0,0,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,SF1_a_P_pd,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,SF1_a_P_sd,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,SF1_a_S_pd,,1.0,10,70,1.0,0.1,1.0,3.0,0.1,0.3,2.3333333333333335,7.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,SF1_a_S_sd,,3.0,30,70,3.0,0.3,3.0,3.0,0.3,0.3,2.3333333333333335,7.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,SF2_a_P_pd,,2.0,20,70,3.0,0.3,3.0,5.0,0.3,0.5,9.0,45.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,SF2_a_P_sd,,2.0,20,70,5.0,0.5,5.0,5.0,0.5,0.5,9.0,45.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,SF2_a_S_pd,,9.0,90,70,14.0,1.4,14.0,15.0,1.4,1.5,6.6,99.0,4,0.0,3653.0
NCCMA_flow_v1,406202,Campaspe River at Reach 4,VIC,Campaspe,SF2_a_S_sd,,10.0,100,70,15.0,1.5,15.0,15.0,1.5,1.5,6.6,99.0,4,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BF1_a,,5.0,50,30,5.0,0.5,5.0,18.0,0.5,1.8,91.33333333333333,1644.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BF1_b_P,,10.0,100,70,10.0,1.0,10.0,10.0,1.0,1.0,182.3,1823.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BF1_b_S,,9.0,90,70,9.0,0.9,9.0,11.0,0.9,1.1,163.9090909090909,1803.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BF1_c,,10.0,100,100,10.0,1.0,10.0,10.0,1.0,1.0,182.3,1823.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BF2_a,,0.0,0,30,0.0,0.0,0.0,20.0,0.0,1.8181818181818181,22.3,446.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BF2_b,,1.0,9,70,1.0,0.09090909090909091,1.0,28.0,0.09090909090909091,2.5454545454545454,37.17857142857143,1041.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BF2_c,,5.0,45,100,5.0,0.45454545454545453,5.0,15.0,0.45454545454545453,1.3636363636363635,114.73333333333333,1721.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BK1_P_pd,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BK1_P_sd,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BK1_S_pd,,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,1.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,BK1_S_sd,,1.0,10,0,1.0,0.1,1.0,1.0,0.1,0.1,1.0,1.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_a,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_b,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_c_P_pd,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_c_P_sd,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_c_S_pd,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,CF1_c_S_sd,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,F1_a_P,,9.0,90,30,18.0,1.8,18.0,18.0,1.8,1.8,8.444444444444445,152.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,F1_a_S,,9.0,90,30,31.0,3.1,31.0,31.0,3.1,3.1,14.838709677419354,460.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,F1_b_P,,10.0,100,70,10.0,1.0,10.0,10.0,1.0,1.0,14.838709677419354,1823.0,0,0.0,3653.0
NCCMA_flow_v1,406207,Campaspe River at Reach 2,VIC,Campaspe,F1_b_S,,9.0,90,70,9.0,0.9,9.0,11.0,0.9,1.1,45.72222222222222,1803.0,0,0.0,3653.0
